"coef","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %"
"是否為店面FALSE",622.445606954412,24.8763520173764,25.021578988737,1.61401163819977e-137,573.687939777492,671.203274131331
"是否為店面TRUE",702.112854478633,78.3931062510333,8.95630863548513,3.44396116470874e-19,548.462311952025,855.763397005242
"週數差-489",-74.7736321475325,204.389625271797,-0.365838687008202,0.714486647359,-475.377439187106,325.830174892041
"週數差-488",129.473395299125,203.502705587902,0.636224441955639,0.524632397533245,-269.392048545965,528.338839144216
"週數差-486",-72.7282351837754,144.797188325236,-0.502276570594844,0.615474698992271,-356.530824549939,211.074354182388
"週數差-482",-203.129015037736,144.241210697835,-1.40825922116851,0.15905913637422,-485.841887869268,79.5838577937954
"週數差-478",-135.316427062012,203.095749922902,-0.666269122388723,0.505241476471126,-533.384237521953,262.751383397929
"週數差-476",-167.2998066319,203.190765673038,-0.823363237388006,0.410304500497495,-565.553848027889,230.954234764089
"週數差-470",-57.0209982057392,203.425953275773,-0.280303458273287,0.779245594959005,-455.736007465919,341.694011054441
"週數差-467",101.572053002033,203.156046891646,0.499970611537872,0.617097473192776,-296.613939558391,499.758045562456
"週數差-465",-49.5837545307787,204.660511045601,-0.242273188303194,0.808569256403874,-450.718497874553,351.550988812995
"週數差-463",32.7928122100601,203.687028210497,0.16099607568613,0.872096994700661,-366.433904102931,432.019528523051
"週數差-461",72.3985085728605,203.149070449066,0.356381195408976,0.721556273433531,-325.773810155277,470.570827300998
"週數差-460",-180.769747253843,144.52919727197,-1.25074898820393,0.211030599480891,-464.047073970063,102.507579462378
"週數差-459",-36.1171440210964,42.2180495354639,-0.855490587995009,0.392282784296183,-118.864550339796,46.6302622976032
"週數差-458",-71.9697682580758,32.1284852734075,-2.24006104382532,0.025090345153467,-134.941621637749,-8.99791487840255
"週數差-457",-73.6479945958501,28.8375397664819,-2.55389312653681,0.0106548684823059,-130.1695925035,-17.1263966882001
"週數差-456",-39.3675198834258,28.9453359171697,-1.36006436394728,0.173814301018373,-96.1003983210552,17.3653585542037
"週數差-455",-29.9653837552293,29.9911606320688,-0.999140517529291,0.317730366679543,-88.7480793581261,28.8173118476674
"週數差-454",-94.5024709169165,27.7597714674175,-3.40429570999304,0.00066375170794896,-148.911642212219,-40.0932996216135
"週數差-453",-68.4249781975092,28.4011836613714,-2.40922980581877,0.0159890063746,-124.091317837036,-12.758638557982
"週數差-452",86.146354748558,26.8225436107546,3.21171459346671,0.00132009955364817,33.5741507011934,138.718558795923
"週數差-451",-55.2116133012732,29.8661007530091,-1.84863815192582,0.0645146443830118,-113.749191454629,3.32596485208277
"週數差-450",-59.8297465567014,27.001191452973,-2.21581875973528,0.0267073878901657,-112.752100498499,-6.90739261490393
"週數差-449",-92.2936048195545,28.38297473987,-3.25172416441284,0.00114766040876906,-147.924254960332,-36.6629546787768
"週數差-448",-27.9794478920822,29.3387559064572,-0.953668518913721,0.340255027146458,-85.4834297810952,29.5245339969307
"週數差-447",-96.0995312814266,30.8890649166225,-3.11111817534211,0.00186461465780406,-156.642119903703,-35.5569426591507
"週數差-446",-71.0554632268337,27.8041019285651,-2.55557483602207,0.0106035242321458,-125.551522256678,-16.5594041969897
"週數差-445",-53.7434784861046,33.0353591272048,-1.62684710885575,0.103774448806121,-118.492805247084,11.0058482748751
"週數差-444",-74.4711352655876,28.2163127524073,-2.63929365679554,0.00830989153090845,-129.775127795552,-19.1671427356235
"週數差-443",-90.4126846875249,33.0679717857833,-2.73414666231194,0.00625592089697214,-155.225932281897,-25.5994370931523
"週數差-442",-89.9785309859719,29.740680585895,-3.02543617743051,0.00248372363076453,-148.270285524951,-31.686776446993
"週數差-441",-64.7837126492549,31.8212906106768,-2.03586062683197,0.0417684221884586,-127.153464277293,-2.41396102121665
"週數差-440",-78.4908079587661,33.4563597140872,-2.34606540070517,0.018975782823508,-144.06529616151,-12.9163197560219
"週數差-439",-72.2087980808606,31.4744640374256,-2.29420262708838,0.021782053950563,-133.898769385205,-10.5188267765161
"週數差-438",-75.0267990012499,31.4718870996742,-2.38393073677576,0.0171316945446706,-136.711719505817,-13.3418784966824
"週數差-437",-55.3482533363247,30.8926995746553,-1.7916288993317,0.0731971076283091,-115.897965890861,5.20145921821195
"週數差-436",-73.8371203098341,29.337428994413,-2.51682314506481,0.0118442252930021,-131.338501450322,-16.3357391693465
"週數差-435",-91.7108582750297,30.6207020359664,-2.99506060204982,0.00274494247701945,-151.727455465422,-31.6942610846379
"週數差-434",-53.2980560494506,30.6067907690895,-1.74138008952175,0.0816217341222872,-113.287387147132,6.69127504823131
"週數差-433",-64.234204520898,27.8931480636016,-2.30286679633407,0.0212894991696905,-118.904794037064,-9.5636150047324
"週數差-432",-54.8727109954823,30.892370835614,-1.77625444442169,0.075695691810886,-115.42177922127,5.67635723030573
