"coef","estimate","se","t_value","p_value","lower","upper"
"月一月",571.170574482713,32.7193169967232,17.4566777949526,1.07371286369832e-67,507.03767859308,635.303470372345
"月七月",537.460189466969,30.8928978813959,17.3975323237848,2.96969545912171e-67,476.907244435902,598.013134498035
"月九月",529.295307950295,32.1486488221517,16.4639985611336,1.79935243083873e-60,466.280974609844,592.309641290746
"月二月",571.704891530902,32.1044020355477,17.8076791742727,2.39459300839838e-70,508.777285995894,634.63249706591
"月八月",532.197468049949,31.5976200881285,16.8429605320149,3.50954776983752e-63,470.263202133731,594.131733966168
"月十一月",536.459623451754,32.8587618575187,16.3262275607929,1.68094185562466e-59,472.053402702051,600.865844201457
"月十二月",539.220816980747,32.9776221225839,16.3511127326392,1.12420971432306e-59,474.581619087737,603.860014873756
"月十月",532.312457854494,32.5654784765619,16.3459123819603,1.22286183546798e-59,468.48109973224,596.143815976748
"月三月",577.458174388125,31.5404089424265,18.308518936524,3.22059856466538e-74,515.636047623571,639.28030115268
"月五月",551.673234585012,29.8112452997199,18.5055414169563,9.05373922299878e-76,493.24042893266,610.106040237364
"月六月",551.385180067908,30.090733976124,18.3240854312631,2.43200407076423e-74,492.40455068843,610.365809447386
"月四月",574.025357047579,30.818220884231,18.62616791553,9.98432004587811e-77,513.618785856927,634.431928238232
"是否為店面TRUE",153.29977837211,37.3329265590495,4.10628880459279,4.03800804549334e-05,80.1237798478558,226.475776896364
"月數差-17",-23.9853507244322,20.1525006034296,-1.19019228414514,0.233986159969292,-63.4861209649888,15.5154195161244
"月數差-16",-32.5862230572253,16.9085413320087,-1.92720486157715,0.0539694610457119,-65.728532262514,0.556086148063471
"月數差-15",-23.9955760909417,15.3508338986739,-1.56314479391342,0.118035715853243,-54.0846342562234,6.09348207433996
"月數差-14",-22.1714377254032,14.1289517599281,-1.56922028626957,0.116613790916452,-49.8654935744251,5.5226181236187
"月數差-13",-35.3060529857315,12.6182717689952,-2.79801018967456,0.005147186313614,-60.0390359434474,-10.5730700280156
"月數差-12",-9.94333335140605,11.1389921058388,-0.892660059090441,0.37205090385888,-31.7767909725032,11.8901242696911
"月數差-11",-4.58050876889928,12.8214280692634,-0.357254179811691,0.720905620426956,-29.7116969170146,20.550679379216
"月數差-10",5.38077564717034,14.1565655409875,0.380090469795896,0.703882641035493,-22.3674057737876,33.1289570681283
"月數差-9",-3.85307008046251,15.7300255974358,-0.244950019731094,0.806497858882403,-34.6853791437181,26.979238982793
"月數差-8",12.9336877190884,16.6625521173848,0.776212889116432,0.437633260593806,-19.7264598110949,45.5938352492717
"月數差-7",8.12428489473249,17.0179158745436,0.477395995762633,0.633085827733786,-25.2324085579436,41.4809783474085
"月數差-6",6.04250391110997,17.5490535798194,0.344320785370361,0.730608984011087,-28.3552687046465,40.4402765268664
"月數差-5",1.53882711341808,17.3539390818456,0.0886730733674114,0.929342696286998,-32.4765029902783,35.5541572171145
"月數差-4",-12.9844880624247,16.5101083338686,-0.786456866293759,0.431609994147867,-45.3458316384103,19.3768555135608
"月數差-3",-20.2269334221401,15.2280810578307,-1.32826541606428,0.184106892696311,-50.0753846345706,9.62151779029032
"月數差-2",-18.9598675028468,13.8381374412126,-1.37011701057259,0.170667072769794,-46.083900315408,8.16416530971433
"月數差-1",-6.04530478770674,12.4111807193638,-0.487085388924754,0.626203614743504,-30.3723700813401,18.2817605059266
"月數差1",11.7409209236348,12.8438061730015,0.914130964411076,0.36065999588015,-13.4341303832802,36.9159722305497
"月數差2",1.74885257727482,14.0410153477764,0.124553141917317,0.900878685503433,-25.7728397482055,29.2705449027552
"月數差3",15.862458458552,15.5106173361421,1.02268388902807,0.306470758254423,-14.5397900633945,46.2647069804984
"月數差4",31.0707967349814,16.5326297377004,1.87936203906683,0.0602108452976373,-1.33469088127795,63.4762843512408
"月數差5",15.903522830417,17.2761891065,0.920545771545962,0.357299677679661,-17.959410110626,49.76645577146
"月數差6",14.5546910616876,17.4750849578925,0.832882420701145,0.404921840679666,-19.6980961948201,48.8074783181954
"月數差7",11.1188234811626,17.2139819085703,0.645918157705674,0.518340403837969,-22.622177582488,44.8598245448131
"月數差8",-13.9407186384447,16.9329302361581,-0.823290384122418,0.410353536181812,-47.1308323578323,19.2493950809429
"月數差9",-16.5519419915406,14.7841551968482,-1.11957306800116,0.262910331968975,-45.5302573442294,12.4263733611481
"月數差10",-12.1135415640921,13.7889854226882,-0.878494043815625,0.379687124401727,-39.1412318617071,14.9141487335229
"月數差11",-2.02699445659008,11.740347590636,-0.172651996965302,0.862926874276406,-25.0391646010268,20.9851756878466
"月數差12",15.3419904400421,10.8077796062926,1.41953213323388,0.155760853295432,-5.84225996340822,36.5262408434925
"月數差13",29.6007681611679,11.8008489819261,2.50835920419825,0.0121378506899484,6.47000967855846,52.7315266437773
"月數差14",35.719291024463,13.838967110884,2.58106625575912,0.00985722472250232,8.59363198239756,62.8449500665285
"月數差15",45.5475397132438,14.9653361394112,3.04353602812131,0.00234144927826909,16.2140929093778,74.8809865171098
"月數差16",38.6279162414355,16.0757229827965,2.40287272197793,0.0162766726765671,7.11800824092586,70.1378242419452
"月數差17",26.2836714933752,16.8585830392168,1.55906765309003,0.118997543666313,-6.76071482462445,59.3280578113748
"月數差18",32.6714796794328,17.1262756925035,1.9076815220097,0.0564479216799691,-0.897609066352004,66.2405684252176
"月數差19",32.4665197311026,19.0385200725662,1.70530690449441,0.0881540566546817,-4.85074535205445,69.7837848142595
"到學校距離",-0.0121343719297795,0.0128863538602424,-0.941645096928239,0.346386718506258,-0.0373928206498017,0.0131240767902427
"到捷運站距離",-0.106699462054236,0.0100255328728071,-10.6427721506598,2.24795618844787e-26,-0.126350436310032,-0.0870484877984403
"屋齡",-2.7855122262041,0.108005629215484,-25.7904356137464,4.0621330513595e-144,-2.99721327652445,-2.57381117588375
"總樓層數",0.741229757045983,0.33863742754908,2.18885951978405,0.0286195575587,0.0774689918835243,1.40499052220844
"租賃面積",-0.231932807062011,0.0104226120365328,-22.2528485420979,2.81866865052755e-108,-0.252362093306095,-0.211503520817926
"是否為一樓TRUE",115.727712981,4.59221588332137,25.2008433230057,8.39958054692612e-138,106.7265439414,124.7288820206
"土地使用分區住",41.130883706624,16.4812894636241,2.4956107832099,0.0125827244969949,8.82602778914396,73.4357396241041
"土地使用分區其他",85.2967909239237,17.1960419704666,4.9602571958371,7.10266790396264e-07,51.5909538028087,119.002628045039
"土地使用分區商",84.6453281766559,16.7798247053868,5.04447034833936,4.59100955272197e-07,51.7553154974601,117.535340855852
"土地使用分區農",45.0763533346629,159.823901510541,0.282037623338145,0.777917829275246,-268.193316606092,358.346023275417
"村里士林區仁勇里",76.8367298579547,45.2936599389436,1.69641247718845,0.0898246844030603,-11.943044414705,165.616504130614
"村里士林區天山里",73.2529323296425,22.7919143110535,3.21398770326706,0.00131130642695158,28.5786664278633,117.927198231422
"村里士林區天母里",61.4786397442606,29.2068024151179,2.1049425017659,0.0353098173777767,4.23059820520864,118.726681283313
"村里士林區天玉里",63.7800608774349,22.9474586106808,2.77939539883291,0.00545153753201683,18.8009137223207,108.759208032549
"村里士林區天和里",63.0317870822129,32.7826880480168,1.92271564155722,0.0545311685999417,-1.22532194534769,127.288896109773
"村里士林區天祿里",45.287970738971,25.6024892402764,1.76888935735696,0.0769288818664721,-4.89528269283253,95.4712241707745
"村里士林區天壽里",57.9504482531117,25.6786837559426,2.25675306428822,0.0240351743608838,7.61784650388836,108.283050002335
"村里士林區天福里",71.1140192568571,23.247542254126,3.05899085931269,0.00222402737285803,25.5466803291219,116.681358184592
"村里士林區永倫里",-16.0070606436601,45.9349487728203,-0.348472373896093,0.727489439100759,-106.043820507502,74.0296992201816
"村里士林區名山里",-75.7757450049764,34.3688525740803,-2.20477959925038,0.027481874753262,-143.141883613565,-8.4096063963874
"村里士林區百齡里",-121.761942585576,44.438699529587,-2.73999788190263,0.00614987192468141,-208.865915161993,-34.6579700091593
"村里士林區岩山里",-70.6392009285046,52.3340030918071,-1.34977637396829,0.177104307965687,-173.218700742351,31.9402988853422
"村里士林區忠誠里",-35.9822938204428,28.8685170851724,-1.24641988759874,0.212626129931937,-92.5672647382907,20.6026770974052
"村里士林區承德里",-49.241165467203,30.1685646414832,-1.63220113559841,0.102654210423342,-108.374350169245,9.89201923483881
"村里士林區明勝里",-145.373716749333,36.1992914487298,-4.01592713369073,5.94472374398015e-05,-216.327685317575,-74.4197481810907
"村里士林區東山里",-26.8904508390022,52.373089200328,-0.513440227597531,0.607649568529337,-129.546563050619,75.7656613726142
"村里士林區社子里",-86.0968004739164,34.7599865082711,-2.47689395545161,0.01326203216973,-154.229597869511,-17.9640030783217
