"coef","estimate","se","t_value","lower","upper","NA"
"是否為店面FALSE",625.716547052478,17.2823087353407,36.2056109883599,3.20326263814036e-284,591.843219718523,659.589874386434
"是否為店面TRUE",731.522647589232,27.6603952902069,26.4465724337723,2.55489921594451e-153,677.308269279012,785.737025899451
"季數差-38",-15.6505055451877,103.892264838932,-0.150641682221975,0.880258841824178,-219.279357931023,187.978346840647
"季數差-37",-171.85281863945,103.4996627881,-1.66041911644961,0.0968349436934972,-374.712170955389,31.0065336764884
"季數差-36",-58.9326589367228,18.8678443219308,-3.12344420121292,0.00178825487044274,-95.9136362233938,-21.9516816500518
"季數差-35",-46.0869513172905,8.22263314556577,-5.60488963832028,2.09221659577509e-08,-62.2033133353591,-29.970589299222
"季數差-34",-67.7311858649323,8.85825473486915,-7.64610952068458,2.0995679203925e-14,-85.0933662794153,-50.3690054504492
"季數差-33",-39.2661121103696,8.09790568897804,-4.84892188406371,1.24417807218128e-06,-55.1380082975571,-23.3942159231821
"季數差-32",-47.2125920013463,8.06802317522415,-5.85181660686474,4.88534321499757e-09,-63.0259184577502,-31.3992655449423
"季數差-31",-34.9334717932234,8.1625926002365,-4.27970296988867,1.87407787165861e-05,-50.9321543347595,-18.9347892516874
"季數差-30",-43.5756263708134,8.26050266008434,-5.27517854105605,1.33046351845755e-07,-59.7662126421868,-27.3850400994399
"季數差-29",-37.3623566534386,7.74578807313546,-4.82357073297959,1.41326356438217e-06,-52.5441022684923,-22.1806110383849
"季數差-28",-43.8614610856592,7.9139380510405,-5.54230533557088,2.99658786515083e-08,-59.3727806789354,-28.350141492383
"季數差-27",-37.6061115103048,8.05659355664739,-4.66774341362629,3.0512664722714e-06,-53.397035912835,-21.8151871077747
"季數差-26",-48.9226912805967,8.12137937638385,-6.02393867017947,1.71125234955045e-09,-64.8405958981049,-33.0047866630884
"季數差-25",-37.1577651770939,7.89561789685099,-4.70612505094927,2.52983681425419e-06,-52.6331772658131,-21.6823530883747
"季數差-24",-34.4503314974034,7.7506597957888,-4.44482565421352,8.81070361290719e-06,-49.6416256894814,-19.2590373053254
"季數差-23",-42.1227877802044,7.97817045565984,-5.27975530409003,1.29767006241779e-07,-57.7600028947583,-26.4855726656505
"季數差-22",-40.2325767638272,8.10046536051722,-4.96669943926015,6.82726300055034e-07,-56.1094899075592,-24.3556636200951
"季數差-21",-27.5287541321934,7.44158641536517,-3.69931256530904,0.000216360509491602,-42.1142644590699,-12.943243805317
"季數差-20",-25.2443112798331,7.59711199011633,-3.32288260495244,0.000891410815761624,-40.1346517531341,-10.3539708065322
"季數差-19",-37.483057777802,7.78821415689406,-4.81279238381271,1.49166176144971e-06,-52.7479585224545,-22.2181570331495
